Trialnumber,Trial number,AlienImageFile,ItemImageFile,Item,WordImageFile,CorrectImage,CorrectWord,IncorrectWord,IncorrectImage,Chunk,WordForm,Individualidentity,Species,Outfit,Variant
1,1,A1_1.png,Singular1.png,kabuq,kabuq.png,kabuq.png,kabuq,babuq,babuq.png,1,Singular1,A1,A,1,
2,2,A2_1.png,Singular2.png,bupod,bupod.png,bupod.png,bupod,pubod,pubod.png,1,Singular2,A2,A,1,
3,3,A3_1.png,Singular3.png,hasot,hasot.png,hasot.png,hasot,hatos,hatos.png,1,Singular3,A3,A,1,
4,4,A4_1.png,Singular4.png,wejun,wejun.png,wejun.png,wejun,jewun,jewun.png,1,Singular4,A4,A,1,
5,5,A1_1.png,Singular5.png,kenig,kenig.png,kenig.png,kenig,genik,genik.png,2,Singular5,A1,A,1,
6,6,A2_1.png,Singular6.png,tulimur,tulimur.png,tulimur.png,tulimur,mulitur,mulitur.png,2,Singular6,A2,A,1,
7,7,A3_1.png,Singular7.png,petilet,petilet.png,petilet.png,petilet,petelit,petelit.png,2,Singular7,A3,A,1,
8,8,A4_1.png,Singular8.png,ropuko,ropuko.png,ropuko.png,ropuko,rupoko,rupoko.png,2,Singular8,A4,A,1,
9,9,A1_1.png,Singular9.png,luragur,luragur.png,luragur.png,luragur,larugur,larugur.png,3,Singular9,A1,A,1,
10,10,A2_1.png,Singular10.png,gunawul,gunawul.png,gunawul.png,gunawul,gunuwal,gunuwal.png,3,Singular10,A2,A,1,
11,11,A3_1.png,Singular1.png,kabuq,kabuq.png,kabuq.png,kabuq,qabuk,qabuk.png,3,Singular1,A3,A,1,
12,12,A4_1.png,Singular2.png,bupod,bupod.png,bupod.png,bupod,dupod,dupod.png,3,Singular2,A4,A,1,
13,13,A1_1.png,Singular3.png,hasot,hasot.png,hasot.png,hasot,hosat,hosat.png,4,Singular3,A1,A,1,
14,14,A2_1.png,Singular4.png,wejun,wejun.png,wejun.png,wejun,junwe,junwe.png,4,Singular4,A2,A,1,
15,15,A3_1.png,Singular5.png,kenig,kenig.png,kenig.png,kenig,kegni,kegni.png,4,Singular5,A3,A,1,
16,16,A4_1.png,Singular6.png,tulimur,tulimur.png,tulimur.png,tulimur,litumur,litumur.png,4,Singular6,A4,A,1,
17,17,A1_1.png,Singular7.png,petilet,petilet.png,petilet.png,petilet,petlite,petlite.png,5,Singular7,A1,A,1,
18,18,A2_1.png,Singular8.png,ropuko,ropuko.png,ropuko.png,ropuko,kuporo,kuporo.png,5,Singular8,A2,A,1,
19,19,A3_1.png,Singular9.png,luragur,luragur.png,luragur.png,luragur,lugarur,lugarur.png,5,Singular9,A3,A,1,
20,20,A4_1.png,Singular10.png,gunawul,gunawul.png,gunawul.png,gunawul,wunugal,wunugal.png,5,Singular10,A4,A,1,
21,21,A1_1.png,Plural1.png,kabuqdem,kabuqdem.png,kabuqdem.png,kabuqdem,kabuqmed,kabuqmed.png,6,Plural1,A1,A,1,dem
22,22,A2_1.png,Plural2.png,bupoddem,bupoddem.png,bupoddem.png,bupoddem,bupodmed,bupodmed.png,6,Plural2,A2,A,1,dem
23,23,A3_1.png,Plural3.png,hasotdem,hasotdem.png,hasotdem.png,hasotdem,hasotmed,hasotmed.png,6,Plural3,A3,A,1,dem
24,24,A4_1.png,Plural4.png,wejundem,wejundem.png,wejundem.png,wejundem,wejunmed,wejunmed.png,6,Plural4,A4,A,1,dem
25,25,A1_1.png,Plural5.png,kenigdem,kenigdem.png,kenigdem.png,kenigdem,kenigmed,kenigmed.png,7,Plural5,A1,A,1,dem
26,26,A2_1.png,Plural6.png,tulimurdem,tulimurdem.png,tulimurdem.png,tulimurdem,tulimurmed,tulimurmed.png,7,Plural6,A2,A,1,dem
27,27,A3_1.png,Plural7.png,petiletdem,petiletdem.png,petiletdem.png,petiletdem,petiletmed,petiletmed.png,7,Plural7,A3,A,1,dem
28,28,A4_1.png,Plural8.png,ropukodem,ropukodem.png,ropukodem.png,ropukodem,ropukomed,ropukomed.png,7,Plural8,A4,A,1,dem
29,29,A1_1.png,Plural9.png,luragurdem,luragurdem.png,luragurdem.png,luragurdem,luragurmed,luragurmed.png,8,Plural9,A1,A,1,dem
30,30,A2_1.png,Plural10.png,gunawuldem,gunawuldem.png,gunawuldem.png,gunawuldem,gunawulmed,gunawulmed.png,8,Plural10,A2,A,1,dem
31,31,A3_1.png,Plural1.png,kabuqdem,kabuqdem.png,kabuqdem.png,kabuqdem,kabuqemd,kabuqemd.png,8,Plural1,A3,A,1,dem
32,32,A4_1.png,Plural2.png,bupoddem,bupoddem.png,bupoddem.png,bupoddem,bupodemd,bupodemd.png,8,Plural2,A4,A,1,dem
33,33,A1_1.png,Plural3.png,hasotdem,hasotdem.png,hasotdem.png,hasotdem,hasotemd,hasotemd.png,9,Plural3,A1,A,1,dem
